Time	Event Type	Plate ID	Insp. ID	Plate Type	Light Path	Setting	Project	Experiment	User Name	Group	Duration
2019/10/06 18:23:56	Plate Move - Load Port to Stage	10855		96 Well Greiner Hanging, 1 Drop	Plate Movement		DIS41d54-45D8.1	20191006_DIS41d55miniC45D8.1_RNH4SO4	cbillesboelle	Manglik	0 minute
2019/10/06 18:23:40	Plate Move - Load Port to Stage	10854		96 Well Greiner Hanging, 1 Drop	Plate Movement		DIS41d54-45D8.1	20191006_DIS41d55miniC45D8.1_RNaCl	cbillesboelle	Manglik	0 minute
2019/10/06 09:04:17	Plate Move - Storage to Stage	10843		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fab	20191003_JCSGG4Ref_45D8.1_13mg/ml+SEED_RT	cbillesboelle	Manglik	0 minute
2019/10/06 09:04:03	Plate Move - Storage to Stage	10837		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fab	20191002_JCSGG4Ref_45D8.1_13mg/ml	cbillesboelle	Manglik	0 minute
2019/10/06 08:14:39	Plate Move - Imager to Stage	10702		96 Well MRC, 3 Drop - echo	Plate Movement		cayman	20190914_cayman_P63_ca_screen	biel	Fraser	0 minute
2019/10/06 08:06:49	Plate Inspection (Scheduled)	10702	104606	96 Well MRC, 3 Drop - echo	Visible	Visible (Default)	cayman	20190914_cayman_P63_ca_screen	biel	Fraser	7.6 minutes
2019/10/06 08:06:19	Plate Move - Imager to Stage	10701		96 Well MRC, 3 Drop - echo	Plate Movement		cayman	20190914_cayman_P63 peg_screen	biel	Fraser	0 minute
2019/10/06 08:05:45	Plate Move - Storage to Stage	10702		96 Well MRC, 3 Drop - echo	Plate Movement		cayman	20190914_cayman_P63_ca_screen	biel	Fraser	0 minute
2019/10/06 07:59:32	Plate Inspection (Scheduled)	10701	104605	96 Well MRC, 3 Drop - echo	Visible	Visible (Default)	cayman	20190914_cayman_P63 peg_screen	biel	Fraser	6.6 minutes
2019/10/06 07:59:03	Plate Move - Storage to Stage	10701		96 Well MRC, 3 Drop - echo	Plate Movement		cayman	20190914_cayman_P63 peg_screen	biel	Fraser	0 minute
2019/10/06 06:46:15	Plate Move - Imager to Stage	10837		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fab	20191002_JCSGG4Ref_45D8.1_13mg/ml	cbillesboelle	Manglik	0 minute
2019/10/06 06:32:03	Plate Inspection (Scheduled)	10837	104604	96 Well Greiner Hanging, 1 Drop	Ultraviolet	UV 100ms	Fab	20191002_JCSGG4Ref_45D8.1_13mg/ml	cbillesboelle	Manglik	13.9 minutes
2019/10/06 06:22:14	Plate Inspection (Scheduled)	10837	104604	96 Well Greiner Hanging, 1 Drop	Visible		Fab	20191002_JCSGG4Ref_45D8.1_13mg/ml	cbillesboelle	Manglik	9.8 minutes
2019/10/06 06:21:44	Plate Move - Storage to Stage	10837		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fab	20191002_JCSGG4Ref_45D8.1_13mg/ml	cbillesboelle	Manglik	0 minute
2019/10/06 04:25:52	Plate Move - Imager to Stage	10610		96 Well Greiner Hanging, 3 Drop	Plate Movement		Bill	AmSO4	hkratochvil	DeGrado	0 minute
2019/10/06 04:05:34	Plate Inspection (Scheduled)	10610	104593	96 Well Greiner Hanging, 3 Drop	Visible		Bill	AmSO4	hkratochvil	DeGrado	20 minutes
2019/10/06 04:05:03	Plate Move - Imager to Stage	10611		96 Well Greiner Hanging, 3 Drop	Plate Movement		Bill	PEG Ion Screen HT	hkratochvil	DeGrado	0 minute
2019/10/06 04:04:48	Plate Move - Storage to Stage	10610		96 Well Greiner Hanging, 3 Drop	Plate Movement		Bill	AmSO4	hkratochvil	DeGrado	0 minute
2019/10/06 03:46:01	Plate Inspection (Scheduled)	10611	104592	96 Well Greiner Hanging, 3 Drop	Visible		Bill	PEG Ion Screen HT	hkratochvil	DeGrado	18.9 minutes
2019/10/06 03:45:31	Plate Move - Imager to Stage	10612		96 Well Greiner Hanging, 3 Drop	Plate Movement		Bill	Wizard HT	hkratochvil	DeGrado	0 minute
2019/10/06 03:44:56	Plate Move - Storage to Stage	10611		96 Well Greiner Hanging, 3 Drop	Plate Movement		Bill	PEG Ion Screen HT	hkratochvil	DeGrado	0 minute
2019/10/06 03:27:22	Plate Inspection (Scheduled)	10612	104591	96 Well Greiner Hanging, 3 Drop	Visible		Bill	Wizard HT	hkratochvil	DeGrado	18 minutes
2019/10/06 03:26:52	Plate Move - Imager to Stage	10834		96 Well MRC, 2 Drop	Plate Movement		20191001_nSM_d391	ammonium_pottasium_citrate	galen	Fraser	0 minute
2019/10/06 03:26:31	Plate Move - Storage to Stage	10612		96 Well Greiner Hanging, 3 Drop	Plate Movement		Bill	Wizard HT	hkratochvil	DeGrado	0 minute
2019/10/06 03:17:35	Plate Inspection (Scheduled)	10834	104590	96 Well MRC, 2 Drop	Visible		20191001_nSM_d391	ammonium_pottasium_citrate	galen	Fraser	9.1 minutes
2019/10/06 03:17:06	Plate Move - Storage to Stage	10834		96 Well MRC, 2 Drop	Plate Movement		20191001_nSM_d391	ammonium_pottasium_citrate	galen	Fraser	0 minute
2019/10/06 02:38:28	Plate Move - Imager to Stage	10848		96 Well MRC, 3 Drop - echo	Plate Movement		bfaust	191004_refined_citrate_peg_yHSP90_screen	bryan	Manglik	0 minute
2019/10/06 02:34:54	Plate Inspection (Scheduled)	10848	104589	96 Well MRC, 3 Drop - echo	Visible	Visible (Default)	bfaust	191004_refined_citrate_peg_yHSP90_screen	bryan	Manglik	3.3 minutes
2019/10/06 02:34:25	Plate Move - Storage to Stage	10848		96 Well MRC, 3 Drop - echo	Plate Movement		bfaust	191004_refined_citrate_peg_yHSP90_screen	bryan	Manglik	0 minute
2019/10/06 02:29:13	Plate Move - Imager to Stage	10839		96 Well MRC, 3 Drop - echo	Plate Movement		ABLE_conc_screen	ABLE_2.6mM_100319	zgaleday	DeGrado	0 minute
2019/10/06 02:21:54	Plate Inspection (Scheduled)	10839	104588	96 Well MRC, 3 Drop - echo	Visible	Visible (Default)	ABLE_conc_screen	ABLE_2.6mM_100319	zgaleday	DeGrado	7 minutes
2019/10/06 02:21:25	Plate Move - Imager to Stage	10838		96 Well MRC, 3 Drop - echo	Plate Movement		ABLE_conc_screen	ABLE_1.3mM_100319	zgaleday	DeGrado	0 minute
2019/10/06 02:20:42	Plate Move - Storage to Stage	10839		96 Well MRC, 3 Drop - echo	Plate Movement		ABLE_conc_screen	ABLE_2.6mM_100319	zgaleday	DeGrado	0 minute
2019/10/06 02:14:56	Plate Inspection (Scheduled)	10838	104587	96 Well MRC, 3 Drop - echo	Visible	Visible (Default)	ABLE_conc_screen	ABLE_1.3mM_100319	zgaleday	DeGrado	6.3 minutes
2019/10/06 02:14:29	Plate Move - Storage to Stage	10838		96 Well MRC, 3 Drop - echo	Plate Movement		ABLE_conc_screen	ABLE_1.3mM_100319	zgaleday	DeGrado	0 minute
2019/10/05 23:46:42	Plate Move - Imager to Stage	10832		96 Well NUNC Hanging 3 Drop	Plate Movement		190822_Her2_fab	Litcitph_peg3350_optimization	susannaelledge	Wells	0 minute
2019/10/05 23:10:45	Plate Inspection (Scheduled)	10832	104586	96 Well NUNC Hanging 3 Drop	Visible		190822_Her2_fab	Litcitph_peg3350_optimization	susannaelledge	Wells	35.7 minutes
2019/10/05 23:10:14	Plate Move - Imager to Stage	10843		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fab	20191003_JCSGG4Ref_45D8.1_13mg/ml+SEED_RT	cbillesboelle	Manglik	0 minute
2019/10/05 23:08:13	Plate Move - Storage to Stage	10832		96 Well NUNC Hanging 3 Drop	Plate Movement		190822_Her2_fab	Litcitph_peg3350_optimization	susannaelledge	Wells	0 minute
2019/10/05 22:52:16	Plate Inspection (Scheduled)	10843	104585	96 Well Greiner Hanging, 1 Drop	Ultraviolet	UV 100ms	Fab	20191003_JCSGG4Ref_45D8.1_13mg/ml+SEED_RT	cbillesboelle	Manglik	17.8 minutes
2019/10/05 22:39:39	Plate Inspection (Scheduled)	10843	104585	96 Well Greiner Hanging, 1 Drop	Visible		Fab	20191003_JCSGG4Ref_45D8.1_13mg/ml+SEED_RT	cbillesboelle	Manglik	12.6 minutes
2019/10/05 22:39:11	Plate Move - Storage to Stage	10843		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fab	20191003_JCSGG4Ref_45D8.1_13mg/ml+SEED_RT	cbillesboelle	Manglik	0 minute
2019/10/05 18:46:11	Plate Move - Imager to Stage	10837		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fab	20191002_JCSGG4Ref_45D8.1_13mg/ml	cbillesboelle	Manglik	0 minute
2019/10/05 18:32:01	Plate Inspection (Scheduled)	10837	104582	96 Well Greiner Hanging, 1 Drop	Ultraviolet	UV 100ms	Fab	20191002_JCSGG4Ref_45D8.1_13mg/ml	cbillesboelle	Manglik	13.9 minutes
2019/10/05 18:22:12	Plate Inspection (Scheduled)	10837	104582	96 Well Greiner Hanging, 1 Drop	Visible		Fab	20191002_JCSGG4Ref_45D8.1_13mg/ml	cbillesboelle	Manglik	9.8 minutes
2019/10/05 18:21:43	Plate Move - Storage to Stage	10837		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fab	20191002_JCSGG4Ref_45D8.1_13mg/ml	cbillesboelle	Manglik	0 minute
2019/10/05 10:52:27	Plate Move - Imager to Stage	10843		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fab	20191003_JCSGG4Ref_45D8.1_13mg/ml+SEED_RT	cbillesboelle	Manglik	0 minute
2019/10/05 10:39:40	Plate Inspection (Scheduled)	10843	104577	96 Well Greiner Hanging, 1 Drop	Visible		Fab	20191003_JCSGG4Ref_45D8.1_13mg/ml+SEED_RT	cbillesboelle	Manglik	12.5 minutes
2019/10/05 10:39:12	Plate Move - Storage to Stage	10843		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fab	20191003_JCSGG4Ref_45D8.1_13mg/ml+SEED_RT	cbillesboelle	Manglik	0 minute
2019/10/05 07:23:26	Plate Move - Imager to Stage	10606		96 Well Greiner Hanging, 1 Drop	Plate Movement		Bill	Crystal Screen HT	hkratochvil	DeGrado	0 minute
2019/10/05 07:16:40	Plate Inspection (Scheduled)	10606	104558	96 Well Greiner Hanging, 1 Drop	Visible		Bill	Crystal Screen HT	hkratochvil	DeGrado	6.5 minutes
