Time	Event Type	Plate ID	Insp. ID	Plate Type	Light Path	Setting	Project	Experiment	User Name	Group	Duration
2019/10/11 06:10:38	Plate Move - Storage to Stage	10810		96 Well Greiner Hanging, 1 Drop	Plate Movement		trek1s131c	Tray40_4C_TK1SC_9mgml_1:1	abhisek	Minor	0 minute
2019/10/11 06:06:28	Plate Inspection (Scheduled)	10809	104945	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	trek1s131c	Tray39_4C_TK1SC_9mgml_2:1	abhisek	Minor	4.4 minutes
2019/10/11 06:05:55	Plate Move - Storage to Stage	10809		96 Well Greiner Hanging, 1 Drop	Plate Movement		trek1s131c	Tray39_4C_TK1SC_9mgml_2:1	abhisek	Minor	0 minute
2019/10/11 05:42:46	Plate Move - Imager to Stage	10852		96 Well Greiner Hanging, 1 Drop	Plate Movement		Serinc3POPC	Mb Class II-04-Oct-19	joana	Stroud	0 minute
2019/10/11 05:33:46	Plate Inspection (Scheduled)	10852	104939	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	Serinc3POPC	Mb Class II-04-Oct-19	joana	Stroud	8.7 minutes
2019/10/11 05:33:13	Plate Move - Imager to Stage	10853		96 Well Greiner Hanging, 1 Drop	Plate Movement		Serinc3POPC	MemGold 2-04-Oct-19	joana	Stroud	0 minute
2019/10/11 05:32:23	Plate Move - Storage to Stage	10852		96 Well Greiner Hanging, 1 Drop	Plate Movement		Serinc3POPC	Mb Class II-04-Oct-19	joana	Stroud	0 minute
2019/10/11 05:21:55	Plate Inspection (Scheduled)	10853	104937	96 Well Greiner Hanging, 1 Drop	Visible		Serinc3POPC	MemGold 2-04-Oct-19	joana	Stroud	11.1 minutes
2019/10/11 05:21:22	Plate Move - Storage to Stage	10853		96 Well Greiner Hanging, 1 Drop	Plate Movement		Serinc3POPC	MemGold 2-04-Oct-19	joana	Stroud	0 minute
2019/10/11 05:07:49	Plate Move - Imager to Stage	10808		96 Well Greiner Hanging, 1 Drop	Plate Movement		20190926 Optimizations	H1/Malonate-26-Sep-19	leah	Fraser	0 minute
2019/10/11 05:00:20	Plate Inspection (Scheduled)	10808	104933	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	20190926 Optimizations	H1/Malonate-26-Sep-19	leah	Fraser	7.2 minutes
2019/10/11 04:59:46	Plate Move - Imager to Stage	10841		96 Well Greiner Hanging, 1 Drop	Plate Movement		Serinc3	Mb Class II-03-Oct-19	joana	Stroud	0 minute
2019/10/11 04:59:02	Plate Move - Storage to Stage	10808		96 Well Greiner Hanging, 1 Drop	Plate Movement		20190926 Optimizations	H1/Malonate-26-Sep-19	leah	Fraser	0 minute
2019/10/11 04:51:34	Plate Inspection (Scheduled)	10841	104931	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	Serinc3	Mb Class II-03-Oct-19	joana	Stroud	8 minutes
2019/10/11 04:51:01	Plate Move - Imager to Stage	10894		96 Well Greiner Hanging, 1 Drop	Plate Movement		20191009 Opt	f11/peg3350-09-Oct-19	leah	Fraser	0 minute
2019/10/11 04:50:15	Plate Move - Storage to Stage	10841		96 Well Greiner Hanging, 1 Drop	Plate Movement		Serinc3	Mb Class II-03-Oct-19	joana	Stroud	0 minute
2019/10/11 04:43:08	Plate Inspection (Scheduled)	10894	104929	96 Well Greiner Hanging, 1 Drop	Visible		20191009 Opt	f11/peg3350-09-Oct-19	leah	Fraser	7.7 minutes
2019/10/11 04:42:35	Plate Move - Imager to Stage	10895		96 Well Greiner Hanging, 1 Drop	Plate Movement		20191009 Opt	h1/malonate-09-Oct-19	leah	Fraser	0 minute
2019/10/11 04:41:55	Plate Move - Storage to Stage	10894		96 Well Greiner Hanging, 1 Drop	Plate Movement		20191009 Opt	f11/peg3350-09-Oct-19	leah	Fraser	0 minute
2019/10/11 04:34:15	Plate Inspection (Scheduled)	10895	104927	96 Well Greiner Hanging, 1 Drop	Visible		20191009 Opt	h1/malonate-09-Oct-19	leah	Fraser	8.1 minutes
2019/10/11 04:33:42	Plate Move - Imager to Stage	10840		96 Well Greiner Hanging, 1 Drop	Plate Movement		Serinc3	MemGold 2-03-Oct-19	joana	Stroud	0 minute
2019/10/11 04:32:57	Plate Move - Storage to Stage	10895		96 Well Greiner Hanging, 1 Drop	Plate Movement		20191009 Opt	h1/malonate-09-Oct-19	leah	Fraser	0 minute
2019/10/11 04:24:58	Plate Inspection (Scheduled)	10840	104925	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	Serinc3	MemGold 2-03-Oct-19	joana	Stroud	8.5 minutes
2019/10/11 04:24:25	Plate Move - Imager to Stage	10851		96 Well Greiner Hanging, 1 Drop	Plate Movement		trek1s131c	Tray46_4C_6mgml_300nl:180nl	abhisek	Minor	0 minute
2019/10/11 04:24:00	Plate Move - Storage to Stage	10840		96 Well Greiner Hanging, 1 Drop	Plate Movement		Serinc3	MemGold 2-03-Oct-19	joana	Stroud	0 minute
2019/10/11 04:19:55	Plate Inspection (Scheduled)	10851	104924	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	trek1s131c	Tray46_4C_6mgml_300nl:180nl	abhisek	Minor	4.3 minutes
2019/10/11 04:19:22	Plate Move - Imager to Stage	10850		96 Well Greiner Hanging, 1 Drop	Plate Movement		trek1s131c	Tray45_4C_6mgml_1:1	abhisek	Minor	0 minute
2019/10/11 04:18:59	Plate Move - Storage to Stage	10851		96 Well Greiner Hanging, 1 Drop	Plate Movement		trek1s131c	Tray46_4C_6mgml_300nl:180nl	abhisek	Minor	0 minute
2019/10/11 04:15:15	Plate Inspection (Scheduled)	10850	104922	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	trek1s131c	Tray45_4C_6mgml_1:1	abhisek	Minor	3.9 minutes
2019/10/11 04:14:41	Plate Move - Imager to Stage	10849		96 Well Greiner Hanging, 1 Drop	Plate Movement		trek1s131c	Tray44_4C_6mgml_2:1	abhisek	Minor	0 minute
2019/10/11 04:14:21	Plate Move - Storage to Stage	10850		96 Well Greiner Hanging, 1 Drop	Plate Movement		trek1s131c	Tray45_4C_6mgml_1:1	abhisek	Minor	0 minute
2019/10/11 04:10:07	Plate Inspection (Scheduled)	10849	104921	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	trek1s131c	Tray44_4C_6mgml_2:1	abhisek	Minor	4.4 minutes
2019/10/11 04:09:34	Plate Move - Storage to Stage	10849		96 Well Greiner Hanging, 1 Drop	Plate Movement		trek1s131c	Tray44_4C_6mgml_2:1	abhisek	Minor	0 minute
